DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,ORIGIN_STATE_ABR,DEST_STATE_ABR,MONTH
16,16,768,646,83,Piedmont Airlines,GSO,CLT,484,NC,NC,12
30,29,1392,1133,221,Piedmont Airlines,CLT,EWN,484,NC,NC,12
31,28,1344,1131,221,Piedmont Airlines,EWN,CLT,484,NC,NC,12
57,54,2592,1922,371,Piedmont Airlines,CLT,SBY,484,NC,MD,10
31,30,4290,3888,680,Southwest Airlines Co.,FLL,RDU,612,FL,NC,5
1,1,126,121,753,United Air Lines Inc.,ORD,MYR,612,IL,SC,7
4,3,429,214,779,Southwest Airlines Co.,MSY,RDU,612,LA,NC,1
34,34,4862,4569,1436,Southwest Airlines Co.,RDU,DEN,612,NC,CO,3
3,3,372,341,306,Delta Air Lines Inc.,GSO,ATL,612,NC,GA,1
50,43,6149,3851,584,Southwest Airlines Co.,CLT,MDW,612,NC,IL,2
179,177,13452,11649,322,PSA Airlines Inc.,IAD,CLT,638,VA,NC,7
6,6,996,780,510,Allegiant Air,SFB,RDU,655,FL,NC,11
30,30,4469,3718,377,Delta Air Lines Inc.,ATL,ILM,655,GA,NC,4
289,287,42749,36411,356,Delta Air Lines Inc.,RDU,ATL,655,NC,GA,4
1,1,149,116,416,Delta Air Lines Inc.,CLE,RDU,655,OH,NC,6
57,57,7980,5880,922,American Airlines Inc.,DFW,CAE,655,TX,SC,8
2,3,474,408,226,Delta Air Lines Inc.,CLT,ATL,656,NC,GA,1
83,83,6308,5663,736,Republic Airline,EYW,CLT,673,FL,NC,2
31,31,2356,1443,710,Republic Airline,MIA,GSO,673,FL,NC,1
28,28,2128,1968,1337,SkyWest Airlines Inc.,CLT,DEN,673,NC,CO,2
22,22,1672,1017,646,Envoy Air,RDU,ORD,673,NC,IL,7
